,Sección,PAN,PRI,PRD,V,PT,MC,M,PA+PRI+PRD,PAN+PRI,PAN+PRD,PRI+PRD,V+PT+M,V+PT,V+M,PT+M,Candidaturas no registradas,Votos nulos,Total
129,Sección 1102,159,25,21,17,26,61,361,2,2,0,0,5,0,1,1,0,19,700
130,Sección 1103,171,18,3,18,16,106,465,4,0,1,0,15,0,8,8,0,23,856
131,Sección 1104,245,21,3,23,15,118,483,5,1,18,0,12,0,4,5,0,25,978
132,Sección 1105,320,53,2,23,31,134,553,18,3,1,0,52,0,10,10,4,14,1228
133,Sección 1106,394,39,8,38,44,206,864,14,5,0,22,50,2,14,5,1,36,1742
134,Sección 1107,289,24,3,29,45,177,836,7,4,0,0,33,2,8,8,3,24,1492
135,Sección 1108,123,14,0,13,43,85,307,2,2,1,0,10,1,4,3,2,7,617
136,Sección 1109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
137,Sección 1110,1697,112,34,110,100,688,2489,83,16,2,0,147,4,15,34,3,61,5595
138,Sección 1111,176,12,0,4,10,60,102,6,0,0,0,6,1,2,1,0,5,385
139,Sección 1112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140,Sección 1113,82,5,1,3,4,42,158,7,2,0,0,11,0,3,3,0,5,326
141,Sección 1145,76,7,0,22,25,51,259,1,1,0,9,7,1,3,3,0,18,483
142,Sección 1146,61,5,3,10,11,28,166,0,0,0,0,0,0,0,0,0,12,296
143,Sección 1147,456,42,6,51,60,164,748,14,2,0,0,33,5,10,6,1,41,1639
144,Sección 1148,352,49,7,77,42,301,818,8,3,0,15,44,1,12,6,1,27,1763
145,Sección 1151,2075,138,20,60,93,347,962,115,19,1,0,92,5,7,10,11,33,3988
146,Sección 1155,488,37,8,27,34,178,539,24,7,0,0,23,2,8,6,0,11,1392
147,Sección 1156,58,3,2,12,8,27,84,5,0,0,0,2,1,0,0,1,4,207
148,Sección 1157,338,40,7,48,32,108,498,13,1,1,1,20,0,21,10,0,33,1171
149,Sección 1158,364,9,11,15,15,149,371,128,0,0,0,136,0,0,0,0,34,1232
150,Sección 1159,167,13,7,49,17,71,480,2,0,0,0,9,0,2,0,1,19,837
151,Sección 1161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
152,Sección 1162,114,22,3,18,19,74,309,8,0,0,0,8,1,7,1,1,15,600
153,Sección 1163,192,47,8,65,17,86,497,5,4,1,0,24,2,13,5,0,25,991
154,Sección 1164,486,73,5,40,52,161,644,24,12,0,0,29,1,8,19,1,40,1595
155,Sección 1165,305,107,7,72,24,126,561,2,7,0,1,22,1,0,2,1,22,1260
156,Sección 1166,277,28,18,27,32,118,625,11,2,1,0,21,1,6,3,3,11,1184
157,Sección 1167,286,47,13,34,39,131,785,7,2,0,0,21,3,6,9,1,36,1420
158,Sección 1168,412,82,7,30,35,214,664,11,3,0,1,27,2,15,8,1,42,1554
159,Sección 1169,237,29,8,24,19,50,485,8,3,1,0,12,3,3,5,0,22,909
160,Sección 1170,156,19,3,17,8,49,235,6,2,1,0,16,1,2,4,1,17,537
161,Sección 1171,192,51,8,23,30,36,222,2,7,0,1,6,0,5,4,0,37,624
162,Sección 1172,216,18,2,16,14,39,283,1,2,1,0,12,0,0,3,0,16,623
163,Sección 1173,197,28,9,16,12,62,218,3,6,2,0,12,1,4,0,0,14,584
164,Sección 1174,263,62,6,36,40,109,498,7,6,1,2,39,5,4,7,0,22,1107
165,Sección 1175,55,9,2,22,2,30,166,0,0,0,0,0,0,0,0,0,8,294
166,Sección 1176,291,39,7,38,38,157,619,3,6,0,0,31,3,5,22,0,29,1288
167,Sección 1177,355,40,3,40,31,157,635,17,4,0,0,53,4,7,10,3,26,1385
168,Sección 3179,127,7,1,11,5,39,183,3,1,0,1,8,0,2,1,0,6,395
169,Sección 3239,156,27,3,14,23,92,451,9,4,0,0,33,4,1,4,0,13,834
170,Sección 3240,216,28,4,16,28,110,543,7,3,1,0,35,1,7,14,3,30,1046
171,Sección 3241,127,11,7,19,24,102,391,7,6,0,0,37,2,4,5,2,20,764
172,Sección 3242,444,86,20,52,80,206,849,22,3,0,0,60,2,7,6,2,37,1876
173,Sección 3257,109,19,6,24,32,75,319,2,1,0,0,32,1,8,6,0,15,649
174,Sección 3258,429,43,7,60,34,213,704,3,0,0,0,14,0,0,0,1,22,1530
175,Sección 3259,259,25,4,16,29,138,548,9,0,0,0,26,0,1,5,2,27,1089
176,Sección 3260,123,27,0,19,16,89,306,8,2,0,0,27,0,3,0,0,9,629
177,Sección 3261,331,14,5,37,24,141,512,18,1,0,0,34,3,6,3,1,28,1158
178,Sección 3262,337,31,3,25,38,170,578,11,3,0,0,47,1,3,11,2,17,1277
179,Sección 3263,236,16,2,35,27,138,409,9,2,0,0,23,1,4,8,0,9,919
180,Sección 3264,235,17,5,12,19,140,369,15,4,0,0,17,0,2,0,0,22,857
181,Sección 3265,235,24,3,22,29,120,389,8,4,0,0,28,1,5,8,3,17,896
182,Sección 3266,342,35,5,35,26,175,522,15,1,0,7,11,2,12,15,2,20,1225
183,Sección 3267,185,16,2,12,15,66,258,4,4,0,0,20,2,1,3,0,24,612
