,State,Candidate ID,Name,Total Votes,Percentage,National Votes,Abroad Votes
127,Sonora,3,Claudia Sheinbaum Pardo,667316,0.630186,666207,1109
128,Sonora,4,Candidaturas no registradas,1524,0.001439,1516,8
129,Sonora,5,Votos nulos,22854,0.021582,22842,12
130,Tabasco,1,Jorge Álvarez Máynez,61062,0.06093899999999999,61031,31
131,Tabasco,2,Bertha Xóchitl Gálvez Ruíz,113526,0.113299,113232,294
132,Tabasco,3,Claudia Sheinbaum Pardo,802827,0.8012220000000001,802219,608
133,Tabasco,4,Candidaturas no registradas,1128,0.0011250000000000001,1126,2
134,Tabasco,5,Votos nulos,23460,0.023413,23455,5
135,Tamaulipas,1,Jorge Álvarez Máynez,138101,0.094459,138002,99
136,Tamaulipas,2,Bertha Xóchitl Gálvez Ruíz,387878,0.265303,386234,1644
137,Tamaulipas,3,Claudia Sheinbaum Pardo,905685,0.6194769999999999,903934,1751
138,Tamaulipas,4,Candidaturas no registradas,1794,0.001227,1786,8
139,Tamaulipas,5,Votos nulos,30965,0.021179,30947,18
140,Tlaxcala,1,Jorge Álvarez Máynez,98760,0.14026,98726,34
141,Tlaxcala,2,Bertha Xóchitl Gálvez Ruíz,105282,0.149523,105095,187
142,Tlaxcala,3,Claudia Sheinbaum Pardo,484255,0.6877460000000001,483516,739
143,Tlaxcala,4,Candidaturas no registradas,954,0.001354,951,3
144,Tlaxcala,5,Votos nulos,14867,0.021114,14862,5
145,Veracruz,1,Jorge Álvarez Máynez,280767,0.08098100000000001,280614,153
146,Veracruz,2,Bertha Xóchitl Gálvez Ruíz,808513,0.23319700000000002,806385,2128
147,Veracruz,3,Claudia Sheinbaum Pardo,2294442,0.6617799999999999,2290229,4213
148,Veracruz,4,Candidaturas no registradas,4384,0.0012640000000000001,4359,25
149,Veracruz,5,Votos nulos,83384,0.02405,83345,39
150,Yucatán,1,Jorge Álvarez Máynez,80867,0.06962,80808,59
151,Yucatán,2,Bertha Xóchitl Gálvez Ruíz,363452,0.312906,362367,1085
152,Yucatán,3,Claudia Sheinbaum Pardo,693678,0.597206,693011,667
153,Yucatán,4,Candidaturas no registradas,1111,0.000956,1108,3
154,Yucatán,5,Votos nulos,22429,0.019309,22405,24
155,Zacatecas,1,Jorge Álvarez Máynez,124211,0.169323,124127,84
156,Zacatecas,2,Bertha Xóchitl Gálvez Ruíz,221704,0.302226,221029,675
157,Zacatecas,3,Claudia Sheinbaum Pardo,367584,0.501089,365541,2043
158,Zacatecas,4,Candidaturas no registradas,1405,0.001915,1382,23
159,Zacatecas,5,Votos nulos,20019,0.027288999999999997,19998,21
