,Sección,PAN,PRI,PRD,V,PT,MC,M,PA+PRI+PRD,PAN+PRI,PAN+PRD,PRI+PRD,V+PT+M,V+PT,V+M,PT+M,Candidaturas no registradas,Votos nulos,Total
291,Sección 1492,27,10,0,8,8,20,182,1,0,1,0,14,1,2,2,0,7,283
292,Sección 1493,72,6,2,11,13,30,151,5,1,0,0,13,0,1,1,0,0,306
293,Sección 1494,66,3,1,11,9,24,183,1,1,0,0,5,0,0,1,0,5,310
294,Sección 1495,49,5,0,6,10,0,191,2,0,0,0,13,0,2,4,1,4,287
295,Sección 1496,79,6,0,5,5,27,250,3,1,0,0,14,0,2,4,0,14,410
296,Sección 2069,157,19,2,19,16,64,351,12,0,0,0,33,5,6,2,2,8,696
297,Sección 2070,263,17,5,31,27,115,556,24,4,0,0,41,0,3,8,0,10,1104
298,Sección 2122,155,41,5,40,37,162,837,8,2,0,0,46,2,6,6,1,12,1360
299,Sección 2123,22,5,5,5,9,12,49,6,5,5,5,8,5,5,5,5,7,163
300,Sección 2124,62,6,0,10,12,48,229,1,2,0,0,9,0,0,0,0,2,381
301,Sección 2125,247,22,2,37,26,176,795,8,4,0,0,55,2,2,8,1,17,1402
302,Sección 2126,224,16,6,45,43,153,856,11,3,0,0,35,2,8,10,3,17,1432
303,Sección 2127,242,30,4,35,34,150,766,6,7,1,0,46,0,13,15,0,17,1366
304,Sección 2128,117,8,4,49,50,110,646,7,0,1,0,53,7,7,11,0,12,1082
305,Sección 2129,185,11,4,15,9,48,164,12,6,1,0,13,0,3,2,0,3,476
306,Sección 2130,232,21,1,21,18,110,446,15,3,0,0,24,1,3,6,1,14,916
307,Sección 2131,334,18,1,14,11,95,293,21,1,0,0,15,2,0,2,2,6,815
308,Sección 2132,150,7,2,22,21,70,361,7,2,0,0,21,7,2,5,0,13,690
