,Sección,PAN,PRI,PRD,V,PT,MC,M,PA+PRI+PRD,PAN+PRI,PAN+PRD,PRI+PRD,V+PT+M,V+PT,V+M,PT+M,Candidaturas no registradas,Votos nulos,Total
190,Sección 1824,27,33,2,132,9,28,284,1,0,0,0,3,2,4,1,0,10,536
191,Sección 1825,8,20,1,117,8,16,80,0,1,0,0,1,2,1,0,0,3,258
192,Sección 1826,29,14,4,392,8,35,290,2,0,0,0,2,2,3,1,0,15,797
193,Sección 1827,9,12,4,227,3,40,244,2,0,0,0,2,1,1,0,0,4,549
194,Sección 1982,37,32,6,44,17,72,304,7,0,0,0,40,4,9,5,0,13,590
195,Sección 1984,12,18,2,35,10,25,236,1,1,0,0,16,1,6,5,0,10,378
196,Sección 2047,7,17,4,68,10,21,247,1,1,0,0,0,0,0,2,0,19,397
197,Sección 2048,12,18,3,28,26,29,268,3,2,0,0,0,2,0,0,0,15,406
198,Sección 2144,110,244,46,177,220,264,373,19,3,2,0,15,15,9,12,1,90,1600
199,Sección 2145,25,68,11,48,39,66,96,8,1,0,0,4,2,0,0,0,10,378
200,Sección 2147,11,1,0,4,0,5,27,0,0,0,0,0,4,1,0,0,0,53
201,Sección 2369,50,55,16,200,136,102,380,5,1,0,0,24,5,9,3,2,21,1009
202,Sección 2370,11,18,5,149,86,25,175,16,0,0,0,1,0,1,2,0,35,524
203,Sección 2371,15,19,7,105,101,22,0,0,0,0,0,16,0,0,0,0,29,314
204,Sección 2372,67,162,30,180,126,123,195,7,2,1,3,14,10,3,8,3,67,1001
205,Sección 2373,31,162,29,97,85,124,175,8,5,1,0,3,7,4,4,2,25,762
