,Sección,PAN,PRI,PRD,V,PT,MC,M,PA+PRI+PRD,PAN+PRI,PAN+PRD,PRI+PRD,V+PT+M,V+PT,V+M,PT+M,Candidaturas no registradas,Votos nulos,Total
104,Sección 396,66,68,12,121,284,304,1059,22,0,0,0,78,3,10,21,1,39,2088
105,Sección 397,41,50,7,25,163,136,514,8,0,0,0,39,4,4,11,0,8,1010
106,Sección 424,21,38,10,94,267,109,596,5,0,0,1,46,9,7,10,0,23,1236
107,Sección 425,26,45,8,92,318,103,585,4,0,0,1,36,10,6,10,5,9,1258
108,Sección 426,31,37,8,73,340,80,469,6,0,0,0,24,5,0,11,0,14,1098
109,Sección 427,34,40,7,78,203,120,841,8,0,0,1,57,8,7,19,2,11,1436
110,Sección 428,12,23,5,52,159,92,561,6,2,0,0,53,4,10,17,1,16,1013
111,Sección 431,53,44,9,86,142,131,429,3,1,0,0,16,3,1,5,0,8,931
112,Sección 432,46,50,5,38,307,147,584,2,0,0,0,14,2,4,7,0,13,1219
113,Sección 433,34,61,9,54,373,231,688,4,1,0,0,13,4,1,9,1,47,1530
114,Sección 434,17,14,8,27,90,55,281,0,0,0,0,22,5,1,10,0,5,535
115,Sección 558,44,179,68,164,103,193,1014,5,3,0,1,36,0,7,8,3,72,1900
116,Sección 559,40,140,24,165,90,143,771,6,2,0,0,50,4,6,17,0,18,1476
117,Sección 560,48,174,84,174,127,302,1041,10,0,0,0,60,5,5,4,0,52,2086
118,Sección 561,58,107,71,226,154,206,1013,7,1,0,1,51,13,5,6,6,29,1954
119,Sección 562,76,140,44,156,116,213,872,9,5,0,0,60,5,11,15,0,33,1755
120,Sección 563,66,111,28,165,101,269,794,16,4,0,1,94,4,5,6,1,28,1693
121,Sección 564,78,122,17,89,93,112,740,11,5,1,1,80,5,14,15,0,20,1403
122,Sección 565,53,74,5,82,50,144,606,15,0,0,0,56,1,6,7,1,19,1119
123,Sección 566,22,75,15,113,100,79,712,2,1,0,1,33,3,6,9,0,18,1189
124,Sección 567,18,32,13,129,79,84,664,2,0,0,0,42,0,5,6,1,27,1102
125,Sección 568,16,17,4,26,22,44,210,1,0,0,0,19,1,6,1,0,6,373
126,Sección 569,13,24,22,75,45,39,215,0,0,0,0,0,0,0,0,0,8,441
127,Sección 570,116,111,23,138,188,229,1129,9,0,0,0,75,5,6,25,0,40,2094
128,Sección 571,66,65,10,71,151,185,723,5,2,0,1,28,5,6,7,1,19,1345
129,Sección 572,50,51,12,74,92,134,471,4,1,0,0,41,2,3,5,0,18,958
130,Sección 573,85,87,14,71,124,196,756,12,6,1,1,55,2,6,15,3,18,1452
131,Sección 574,159,100,26,169,235,300,1119,7,1,0,1,75,6,6,18,3,43,2268
132,Sección 586,43,48,10,48,157,180,683,6,1,0,0,26,6,2,11,1,19,1241
133,Sección 587,35,36,8,49,171,155,620,2,0,0,0,37,2,2,17,1,19,1154
134,Sección 588,37,30,4,66,126,133,563,1,1,0,0,53,6,6,14,1,15,1056
135,Sección 589,48,74,8,44,101,111,413,5,0,0,0,36,62,3,3,1,21,930
136,Sección 590,185,143,18,143,370,348,1347,24,8,0,0,125,7,23,31,4,36,2812
137,Sección 591,108,130,15,95,216,244,976,17,2,0,0,87,5,4,7,2,30,1938
138,Sección 592,111,110,22,175,447,333,1473,11,4,0,0,102,15,14,32,1,58,2908
139,Sección 593,103,86,11,98,197,207,953,10,1,0,0,76,7,12,8,1,42,1812
140,Sección 594,104,97,17,78,254,204,922,7,3,0,1,83,6,4,21,1,28,1830
141,Sección 595,70,62,13,110,226,208,952,4,3,1,0,67,13,9,12,0,41,1791
142,Sección 596,61,36,9,40,122,154,498,12,1,0,0,23,3,5,9,0,17,990
143,Sección 597,53,63,8,68,209,147,779,9,2,0,1,63,5,7,17,2,29,1462
144,Sección 598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
145,Sección 599,209,133,16,163,258,311,1219,24,25,0,3,73,10,8,25,5,45,2527
146,Sección 600,59,82,13,104,174,186,768,11,1,0,0,151,2,5,11,3,20,1590
147,Sección 601,43,61,6,90,220,170,895,9,0,0,0,66,4,6,5,0,38,1613
148,Sección 602,46,50,39,122,155,192,1003,1,0,1,0,44,5,1,3,2,31,1695
149,Sección 603,6,1,56,45,52,32,358,0,1,0,0,17,2,2,5,0,16,593
150,Sección 604,95,67,100,175,190,285,1318,2,0,0,1,71,9,2,4,0,40,2359
151,Sección 605,29,30,32,74,93,144,513,4,0,0,1,37,6,7,13,5,25,1013
152,Sección 622,72,102,5,215,119,232,802,1,0,0,0,54,2,4,2,2,32,1644
153,Sección 623,93,111,9,238,136,183,725,3,2,1,0,38,5,8,20,0,29,1601
154,Sección 624,41,15,1,44,88,78,241,1,1,0,0,14,0,2,5,2,10,543
155,Sección 625,118,51,13,162,328,257,662,4,2,0,11,35,14,11,7,0,31,1706
156,Sección 637,8,14,1,47,21,49,225,2,0,0,0,8,0,5,1,0,13,394
157,Sección 638,18,38,4,75,39,80,401,4,1,0,0,9,3,8,1,8,16,705
158,Sección 639,24,42,3,96,57,86,540,1,0,0,0,26,1,1,2,0,13,892
159,Sección 640,46,44,2,122,35,82,312,1,1,0,0,9,1,2,2,0,10,669
160,Sección 641,13,36,0,87,26,84,312,4,0,0,0,26,3,12,3,6,14,626
